"artist";"genre";"original_artist"
"Wardruna"                                                                 ;"Nordic Folk"                        ;"Wardruna"
"The Real McKenzies"                                                       ;"celtic punk"                 ;"The Real McKenzies"
"Isidor"                                                                   ;"synthwave"                   ;"Isidor"
"Sláinte"                                                                  ;"folk"                        ;"Sláinte"
"Arch Enemy"                                                               ;"Melodic Death Metal"         ;"Arch Enemy"
"Qntal"                                                                    ;"medieval"                    ;"Qntal"
"The Who"                                                                  ;"classic rock"                ;"The Who"
"Cinderella"                                                               ;"glam rock"                   ;"Cinderella"
"Slayer"                                                                   ;"thrash metal"                ;"Slayer"
"Creedence Clearwater Revival"                                             ;"classic rock"                ;"Creedence Clearwater Revival"
"John Lindberg Trio"                                                       ;"rockabilly"                  ;"John Lindberg Trio"
"Jaded Sun"                                                                ;"hard rock"                   ;"Jaded Sun"
"Canned Heat & John Lee Hooker"                                            ;"blues"                       ;"Canned Heat & John Lee Hooker"
"E Nomine"                                                                 ;"electronic"                  ;"E Nomine"
"Sufjan Stevens"                                                           ;"indie"                       ;"Sufjan Stevens"
"Matchbox Twenty"                                                          ;"rock"                        ;"Matchbox Twenty"
"Bad Company"                                                              ;"classic rock"                ;"Bad Company"
"Nick Cave & The Bad Seeds"                                                ;"post-punk"                   ;"Nick Cave & the Bad Seeds"
"Katatonia"                                                                ;"doom metal"                  ;"Katatonia"
"Millencolin"                                                              ;"punk rock"                   ;"Millencolin"
"ZZ Top"                                                                   ;"classic rock"                ;"ZZ Top"
"Der Blutharsch"                                                           ;"martial industrial"          ;"Der Blutharsch"
"The Young Dubliners"                                                      ;"irish"                       ;"The Young Dubliners"
"Nirvana"                                                                  ;"Grunge"                      ;"Nirvana"
"Alcest"                                                                   ;"shoegaze"                    ;"Alcest"
"The Jesus and Mary Chain"                                                 ;"shoegaze"                    ;"The Jesus and Mary Chain"
"Liquid Tension Experiment"                                                ;"Progressive metal"           ;"Liquid Tension Experiment"
"Antimatter"                                                               ;"Progressive rock"            ;"Antimatter"
"Texas"                                                                    ;"pop"                         ;"Texas"
"Richard Wagner"                                                           ;"Classical"                   ;"Richard Wagner"
"Madrugada"                                                                ;"rock"                        ;"Madrugada"
"Deafheaven"                                                               ;"black metal"                 ;"Deafheaven"
"Mick Gordon"                                                              ;"Soundtrack"                  ;"Mick Gordon"
"John Lee Hooker"                                                          ;"blues"                       ;"John Lee Hooker"
"Apoptygma Berzerk"                                                        ;"ebm"                         ;"Apoptygma Berzerk"
"Dire Straits"                                                             ;"classic rock"                ;"Dire Straits"
"Su ta gar"                                                                ;"heavy metal"                 ;"Su ta gar"
"The Jesus and Mary Chain"                                                 ;"shoegaze"                    ;"The Jesus & Mary Chain"
"Foo Fighters"                                                             ;"rock"                        ;"Foo Fighters"
"Elderwind"                                                                ;"atmospheric black metal"     ;"Elderwind"
"In Extremo"                                                               ;"folk metal"                  ;"In Extremo"
"Rachel Portman"                                                           ;"Soundtrack"                  ;"Rachel Portman"
"Colder"                                                                   ;"electronic"                  ;"Colder"
"Yiruma"                                                                   ;"piano"                       ;"Yiruma"
"Within Temptation"                                                        ;"symphonic metal"             ;"Within Temptation"
"Queen"                                                                    ;"classic rock"                ;"Queen"
"Stevie Ray Vaughan and Double Trouble"                                    ;"blues"                       ;"Stevie Ray Vaughan and Double Trouble"
"The Doors"                                                                ;"classic rock"                ;"The Doors"
"Owl City"                                                                 ;"electronic"                  ;"Owl City"
"Port Blue"                                                                ;"electronic"                     ;"Port Blue"
"Amy Macdonald"                                                            ;"pop"            ;"Amy Macdonald"
"Eiffel"                                                                   ;"rock"                        ;"Eiffel"
"Mike Oldfield"                                                            ;"Progressive rock"            ;"Mike Oldfield"
"Elliott Smith"                                                            ;"indie"           ;"Elliott Smith"
"Kyle Dixon & Michael Stein"                                               ;"Soundtrack"                  ;"Kyle Dixon & Michael Stein"
"Necrophobic"                                                              ;"death metal"                 ;"Necrophobic"
"Arctic Monkeys"                                                           ;"indie"                  ;"Arctic Monkeys"
"Mumford & Sons"                                                           ;"folk"                        ;"Mumford & Sons"
"Flook"                                                                    ;"celtic"                      ;"Flook"
"Wolves in the Throne Room"                                                ;"black metal"                 ;"Wolves in the Throne Room"
"Kevin Kern"                                                               ;"piano"                       ;"Kevin Kern"
"Absurd Minds"                                                             ;"ebm"                         ;"Absurd Minds"
"AC/DC"                                                                    ;"hard rock"                   ;"AC/DC"
"Luca Turilli"                                                             ;"Power metal"                 ;"Luca Turilli"
"Dokken"                                                                   ;"hard rock"                   ;"Dokken"
"Dies Natalis"                                                             ;"neofolk"                     ;"Dies Natalis"
"Harakiri for the Sky"                                                     ;"Post-Black Metal"            ;"Harakiri for the Sky"
"Cân Bardd"                                                                ;"atmospheric black metal"     ;"Cân Bardd"
"Les Colonnes de l'Eternite"                                               ;"martial industrial"          ;"Les Colonnes de l'Eternite"
"Metallica"                                                                ;"thrash metal"                ;"Metallica"
"Amon Amarth"                                                              ;"Melodic Death Metal"         ;"Amon Amarth"
"The Creepshow"                                                            ;"psychobilly"                 ;"The Creepshow"
"Covenant"                                                                 ;"ebm"                         ;"Covenant"
"Broken Social Scene"                                                      ;"indie"                       ;"Broken Social Scene"
"Radiohead"                                                                ;"alternative"                 ;"Radiohead"
"Ordo Equilibrio"                                                          ;"neofolk"                     ;"Ordo Equilibrio"
"Dixebra"                                                                  ;"folk rock"                   ;"Dixebra"
"Goldfinger"                                                               ;"punk"                        ;"Goldfinger"
"Lacrimosa"                                                                ;"Gothic"                      ;"Lacrimosa"
"Anika Nilles"                                                             ;"Progressive rock"            ;"Anika Nilles"
"Seabound"                                                                 ;"futurepop"                   ;"Seabound"
"Ramones"                                                                  ;"punk"                        ;"The Ramones"
"Spor"                                                                     ;"Drum and bass"               ;"Spor"
"1101"                                                                     ;"noise"                       ;"1101"
"Fen"                                                                      ;"atmospheric black metal"     ;"Fen"
"Von Thronstahl"                                                           ;"martial industrial"          ;"Von Thronstahl"
"Greg Howe"                                                                ;"guitar virtuoso"             ;"Greg Howe"
"Mustard Plug"                                                             ;"ska"                         ;"Mustard Plug"
"The Presidents of the United States of America"                           ;"rock"                        ;"The Presidents of the United States of America"
"Kraftwerk"                                                                ;"electronic"                  ;"Kraftwerk"
"Haggard"                                                                  ;"symphonic metal"             ;"Haggard"
"Kenny Wayne Shepherd Band"                                                ;"blues"                       ;"Kenny Wayne Shepherd Band"
"The Rumjacks"                                                             ;"celtic punk"                 ;"The Rumjacks"
"Paradise Lost"                                                            ;"Gothic Metal"                ;"Paradise Lost"
"Johnny Cash"                                                              ;"country"                     ;"Johnny Cash"
"Lúnasa"                                                                   ;"celtic"                      ;"Lúnasa"
"Blind Guardian"                                                           ;"Power metal"                 ;"Blind Guardian"
"Bauhaus"                                                                  ;"post-punk"                   ;"Bauhaus"
"Ani DiFranco"                                                             ;"folk"                        ;"Ani DiFranco"
"Ensiferum"                                                                ;"folk metal"                  ;"Ensiferum"
"Kashmir"                                                                  ;"seen live"                   ;"Kashmir"
"Simon & Garfunkel"                                                        ;"folk"                        ;"Simon & Garfunkel"
"Kreator"                                                                  ;"thrash metal"                ;"Kreator"
"Julie Fowlis"                                                             ;"folk"                        ;"Julie Fowlis"
"Wolfsheim"                                                                ;"synthpop"                    ;"Wolfsheim"
"Equilibrium"                                                              ;"folk metal"                  ;"Equilibrium"
"Fito & Fitipaldis"                                                        ;"Spanish Rock"                ;"Fito & Fitipaldis"
"Belle and Sebastian"                                                      ;"indie"                       ;"Belle and Sebastian"
"pulp fusion"                                                              ;"funk"                        ;"pulp fusion"
"New York Ska-Jazz Ensemble"                                               ;"ska"                         ;"New York Ska-Jazz Ensemble"
"Bayreuth Festival, Jerusalem, Evans, Tomlinson, Barenboim"                ;"Classical"                   ;"Bayreuth Festival, Jerusalem, Evans, Tomlinson, Barenboim"
"Grand Island"                                                             ;"indie"                   ;"Grand Island"
"Simple Plan"                                                              ;"pop punk"                    ;"Simple Plan"
"Carpenter Brut"                                                           ;"synthwave"                   ;"Carpenter Brut"
"Kasabian"                                                                 ;"indie"                       ;"Kasabian"
"Tito & Tarantula"                                                         ;"rock"                        ;"Tito & Tarantula"
"Jeff Healey"                                                              ;"blues rock"                  ;"Jeff Healey"
"Deftones"                                                                 ;"Nu Metal"                    ;"Deftones"
"The Killers"                                                              ;"indie"                       ;"The Killers"
"Fixions"                                                                  ;"synthwave"                   ;"Fixions"
"Gojira"                                                                   ;"death metal"                 ;"Gojira"
"The Pogues"                                                               ;"irish"                       ;"The Pogues"
"Nebula Orionis"                                                           ;"atmospheric black metal"     ;"Nebula Orionis"
"David Bowie"                                                              ;"rock"                        ;"David Bowie"
"Heilung"                                                                  ;"neofolk"                     ;"Heilung"
"Enya"                                                                     ;"new age"                     ;"Enya"
"U2"                                                                       ;"rock"                        ;"U2"
"The Wallflowers"                                                          ;"rock"                        ;"The Wallflowers"
"Theatre of Tragedy"                                                       ;"Gothic Metal"                ;"Theatre of Tragedy"
"Platero y tú"                                                             ;"rock"                        ;"Platero Y Tu"
"Lazerhawk"                                                                ;"synthwave"                   ;"Lazerhawk"
"Das Ich"                                                                  ;"industrial"                  ;"Das Ich"
"The Smiths"                                                               ;"indie"                       ;"The Smiths"
"Helium Vola"                                                              ;"darkwave"                    ;"Helium Vola"
"Joy Division"                                                             ;"post-punk"                   ;"Joy Division"
":Wumpscut:"                                                               ;"industrial"                  ;":Wumpscut:"
"Ghost Bath"                                                               ;"black metal"      ;"Ghost Bath"
"Nickelback"                                                               ;"rock"                        ;"Nickelback"
"Sólstafir"                                                                ;"black metal"                 ;"Sólstafir"
"Samael"                                                                   ;"black metal"                 ;"Samael"
"Forndom"                                                                  ;"nordic folk"                ;"Forndom"
