"artist";"genre";"original_artist"
"Bros"                                                                     ;"indie"                         ;"Bros"
"Public Access T.V."                                                       ;"indie"                  ;"Public Access T.V."
"Beck"                                                                     ;"alternative"                 ;"Beck"
"Surf Curse"                                                               ;"indie"                       ;"Surf Curse"
"Rolling Blackouts Coastal Fever"                                          ;"indie"                  ;"Rolling Blackouts Coastal Fever"
"Gerry Cinnamon"                                                           ;"indie"                       ;"Gerry Cinnamon"
"DIIV"                                                                     ;"shoegaze"                    ;"DIIV"
"The Voidz"                                                                ;"Experimental Rock"           ;"The Voidz"
"Albert Hammond, Jr."                                                      ;"indie"                  ;"Albert Hammond, Jr."
"King Gizzard & The Lizard Wizard"                                         ;"Psychedelic Rock"            ;"King Gizzard & The Lizard Wizard"
"The Wombats"                                                              ;"indie"                       ;"The Wombats"
"The Growlers"                                                             ;"surf rock"                   ;"The Growlers"
"Jade Bird"                                                                ;"folk"                        ;"Jade Bird"
"Phildel"                                                                  ;"piano"                       ;"Phildel"
"Joep Beving"                                                              ;"piano"                       ;"Joep Beving"
"Beta Radio"                                                               ;"folk"                        ;"Beta Radio"
"Peter Bradley Adams"                                                      ;"folk"           ;"Peter Bradley Adams"
"Poppy Ackroyd"                                                            ;"contemporary classical"      ;"Poppy Ackroyd"
"Jean-Michel Blais"                                                        ;"piano"                       ;"Jean-Michel Blais"
"Max Richter"                                                              ;"ambient"                     ;"Max Richter"
"SYML"                                                                     ;"indie"                   ;"SYML"
"Moux"                                                                     ;"instrumental"                ;"Moux"
"Mélanie Laurent"                                                          ;"french"                      ;"Mélanie Laurent"
"Eiffel feat. Bertrand Cantat"                                             ;"Not found"                   ;"Eiffel feat. Bertrand Cantat"
"EIFFEL feat. Phoebe Killdeer"                                             ;"Not found"                   ;"EIFFEL feat. Phoebe Killdeer"
"The Bangles"                                                              ;"rock"                         ;"The Bangles"
"Collective Soul"                                                          ;"rock"                        ;"Collective Soul"
"Sheryl Crow"                                                              ;"rock"            ;"Sheryl Crow"
"Spin Doctors"                                                             ;"rock"                        ;"Spin Doctors"
"Sugar Ray"                                                                ;"rock"                        ;"Sugar Ray"
"No Doubt"                                                                 ;"rock"                        ;"No Doubt"
"Gin Blossoms"                                                             ;"alternative"                 ;"Gin Blossoms"
"Counting Crows"                                                           ;"rock"                        ;"Counting Crows"
"The Corrs"                                                                ;"pop"                         ;"The Corrs"
"Dixie Chicks"                                                             ;"country"                     ;"Dixie Chicks"
"Hootie & The Blowfish"                                                    ;"rock"                        ;"Hootie & The Blowfish"
"Annie Lennox"                                                             ;"female vocalists"            ;"Annie Lennox"
"Reverend Horton Heat"                                                     ;"psychobilly"                 ;"Reverend Horton Heat"
"Hank Williams III"                                                        ;"country"                     ;"Hank Williams III"
"Imelda May"                                                               ;"rockabilly"                  ;"Imelda May"
"Nekromantix"                                                              ;"psychobilly"                 ;"Nekromantix"
"The Brian Setzer Orchestra"                                               ;"swing"                       ;"The Brian Setzer Orchestra"
"Brian Setzer"                                                             ;"rockabilly"                  ;"Brian Setzer"
"Mad Sin"                                                                  ;"psychobilly"                 ;"Mad Sin"
"Ghoultown"                                                                ;"psychobilly"                 ;"Ghoultown"
"Mike Ness"                                                                ;"rockabilly"                  ;"Mike Ness"
"Mojo Nixon"                                                               ;"psychobilly"                 ;"Mojo Nixon"
"The Meteors"                                                              ;"psychobilly"                 ;"The Meteors"
"Lee Rocker"                                                               ;"rockabilly"                  ;"Lee Rocker"
"The Cramps"                                                               ;"psychobilly"                 ;"The Cramps"
"The Goddamn Gallows"                                                      ;"psychobilly"                 ;"The Goddamn Gallows"
"Batmobile"                                                                ;"psychobilly"                 ;"Batmobile"
"TT Grace"                                                                 ;"rockabilly"                  ;"TT Grace"
"Wild Wax Combo"                                                           ;"rockabilly"                  ;"Wild Wax Combo"
"Hillbilly Hellcats"                                                       ;"rockabilly"                  ;"Hillbilly Hellcats"
"Hellbilly Boys"                                                           ;"seen live"                   ;"Hellbilly Boys"
"Cigar Store Indians"                                                      ;"rockabilly"                  ;"Cigar Store Indians"
"Pepita Slappers"                                                          ;"rockabilly"                  ;"Pepita Slappers"
"Voodoo Swing"                                                             ;"rockabilly"                  ;"Voodoo Swing"
"Chris Isaak"                                                              ;"rock"                        ;"Chris Isaak"
"Elvis Presley"                                                            ;"rock n roll"                 ;"Elvis Presley"
"Jerry Jaye"                                                               ;"country"                     ;"Jerry Jaye"
"The Firebirds"                                                            ;"psychobilly"            ;"The Firebirds"
"Little Richard"                                                           ;"Rock and Roll"               ;"Little Richard"
"Hillbilly Casino"                                                         ;"rockabilly"                  ;"Hillbilly Casino"
"Jerry Lee Lewis"                                                          ;"rockabilly"                  ;"Jerry Lee Lewis"
"Gene Vincent & His Blue Caps"                                             ;"rockabilly"                  ;"Gene Vincent & His Blue Caps"
"Black Raven"                                                              ;"rockabilly"                  ;"Black Raven"
"Cousin Harley"                                                            ;"rockabilly"                  ;"Cousin Harley"
"Dave Edmunds"                                                             ;"rock"                        ;"Dave Edmunds"
"Joe Ely"                                                                  ;"country"                     ;"Joe Ely"
"Buddy Holly"                                                              ;"rockabilly"                  ;"Buddy Holly"
"Hillbilly Frankenstein"                                                   ;"rockabilly"                  ;"Hillbilly Frankenstein"
"The Blasters"                                                             ;"rockabilly"                  ;"The Blasters"
"Fatboy"                                                                   ;"rockabilly"                  ;"Fatboy"
"Matchbox"                                                                 ;"rockabilly"                  ;"Matchbox"
"Eddie Cochran"                                                            ;"rockabilly"                  ;"Eddie Cochran"
"Pat Travers"                                                              ;"blues rock"                  ;"Pat Travers"
"The Subways"                                                              ;"indie"                  ;"The Subways"
"The Winery Dogs"                                                          ;"hard rock"                   ;"The Winery Dogs"
"Pink Floyd"                                                               ;"Progressive rock"            ;"Pink Floyd"
"Lenny Kravitz"                                                            ;"rock"                        ;"Lenny Kravitz"
"Them Crooked Vultures"                                                    ;"hard rock"                   ;"Them Crooked Vultures"
"The Vines"                                                                ;"rock"                        ;"The Vines"
"Accept"                                                                   ;"heavy metal"                 ;"Accept"
"Audioslave"                                                               ;"rock"                        ;"Audioslave"
"Great White"                                                              ;"hard rock"                   ;"Great White"
"The Hives"                                                                ;"indie"                   ;"The Hives"
"Brother Cane"                                                             ;"hard rock"                   ;"Brother Cane"
"Jet"                                                                      ;"rock"                        ;"Jet"
"T. Rex"                                                                   ;"glam rock"                   ;"T. Rex"
"The White Stripes"                                                        ;"rock"                        ;"The White Stripes"
"Soundgarden"                                                              ;"Grunge"                      ;"Soundgarden"
"Ron Gallo"                                                                ;"Garage Rock"                 ;"Ron Gallo"
"Jethro Tull"                                                              ;"Progressive rock"            ;"Jethro Tull"
"Stevie Ray Vaughan"                                                       ;"blues"                       ;"Stevie Ray Vaughan"
"Eric Johnson"                                                             ;"guitar virtuoso"             ;"Eric Johnson"
"Jeff Beck"                                                                ;"classic rock"                ;"Jeff Beck"
"Faith No More"                                                            ;"alternative rock"            ;"Faith No More"
"The Black Keys"                                                           ;"blues rock"                  ;"The Black Keys"
"Iggy Pop"                                                                 ;"punk"                        ;"Iggy Pop"
"Jane's Addiction"                                                         ;"alternative rock"            ;"Jane's Addiction"
"A Flock of Seagulls"                                                      ;"new wave"                    ;"A Flock of Seagulls"
"Bang Camaro"                                                              ;"hard rock"                   ;"Bang Camaro"
"Eagles of Death Metal"                                                    ;"stoner rock"                   ;"Eagles of Death Metal"
"Rage Against the Machine"                                                 ;"rock"                        ;"Rage Against the Machine"
"The Black Crowes"                                                         ;"rock"                        ;"The Black Crowes"
"Knorkator"                                                                ;"metal"                   ;"Knorkator"
"Völkerball"                                                               ;"industrial metal"            ;"Völkerball"
"Bill Evans Trio"                                                          ;"jazz"                        ;"The Bill Evans Trio"
"Running Wild"                                                             ;"heavy metal"                 ;"Running Wild"
"Enforcer"                                                                 ;"heavy metal"                 ;"Enforcer"
"Anvil"                                                                    ;"heavy metal"                 ;"Anvil"
"Raven"                                                                    ;"heavy metal"                 ;"Raven"
"Bullet"                                                                   ;"heavy metal"                 ;"Bullet"
"Skull Fist"                                                               ;"heavy metal"                 ;"Skull Fist"
"Midnight"                                                                 ;"speed metal"                 ;"Midnight"
"Tokyo Blade"                                                              ;"heavy metal"                 ;"Tokyo Blade"
"Ashbury"                                                                  ;"hard rock"                   ;"Ashbury"
"Sortilège"                                                                ;"heavy metal"                 ;"Sortilège"
"Armored Saint"                                                            ;"heavy metal"                 ;"Armored Saint"
"Grim Reaper"                                                              ;"heavy metal"                 ;"Grim Reaper"
"High Spirits"                                                             ;"heavy metal"                 ;"High Spirits"
"Tygers of Pan Tang"                                                       ;"heavy metal"                 ;"Tygers of Pan Tang"
"Angel Witch"                                                              ;"heavy metal"                 ;"Angel Witch"
"Manilla Road"                                                             ;"heavy metal"                 ;"Manilla Road"
"Cauldron"                                                                 ;"heavy metal"                 ;"Cauldron"
"Stormwitch"                                                               ;"heavy metal"                 ;"Stormwitch"
"Agent Steel"                                                              ;"speed metal"                 ;"Agent Steel"
"Praying Mantis"                                                           ;"heavy metal"                      ;"Praying Mantis"
"Holy Grail"                                                               ;"heavy metal"                 ;"Holy Grail"
"Virgin Steele"                                                            ;"heavy metal"                 ;"Virgin Steele"
"Night Demon"                                                              ;"heavy metal"                 ;"Night Demon"
"Kid Rock"                                                                 ;"rock"                        ;"Kid Rock"
"The Cure"                                                                 ;"post-punk"                   ;"The Cure"
"Madness"                                                                  ;"ska"                         ;"Madness"
"Status Quo"                                                               ;"classic rock"                ;"Status Quo"
"Faces"                                                                    ;"classic rock"                ;"Faces"
"American Royalty"                                                         ;"indie"                       ;"American Royalty"
"Cold Beat"                                                                ;"indie"                   ;"Cold Beat"
"Spilt Milk Society"                                                       ;"indie"                       ;"Spilt Milk Society"
"Avid Dancer"                                                              ;"indie"                   ;"Avid Dancer"
"Future Generations"                                                       ;"indie"                  ;"Future Generations"
"Gengahr"                                                                  ;"indie"                   ;"Gengahr"
"Okkervil River"                                                           ;"indie"                   ;"Okkervil River"
"Belle and Sebastian"                                                      ;"indie"                       ;"Belle & Sebastian"
"frills"                                                                   ;"indie"                       ;"Frills"
"Girl Ray"                                                                 ;"indie"                   ;"Girl Ray"
"French Cassettes"                                                         ;"indie"                   ;"French Cassettes"
"The Belle Game"                                                           ;"folk"                        ;"The Belle Game"
"Ages and Ages"                                                            ;"indie"                       ;"Ages and Ages"
"Shout Out Louds"                                                          ;"seen live"                   ;"Shout Out Louds"
"Bad Suns"                                                                 ;"indie"                  ;"Bad Suns"
"Tempesst"                                                                 ;"Psychedelic Rock"            ;"Tempesst"
"Ginger Root"                                                              ;"soul"                        ;"Ginger Root"
"Day Wave"                                                                 ;"indie"                       ;"Day Wave"
"Generationals"                                                            ;"indie"                       ;"Generationals"
"Dayglow"                                                                  ;"indie"                       ;"Dayglow"
"The F16s"                                                                 ;"indie"                  ;"The F16s"
"Lean"                                                                     ;"indie"                   ;"Lean"
"apre"                                                                     ;"alternative"                 ;"APRE"
"Say Sue Me"                                                               ;"dream pop"                   ;"Say Sue Me"
"Winnetka Bowling League"                                                  ;"alternative"                 ;"Winnetka Bowling League"
"FRMTN"                                                                    ;"Not found"                   ;"FRMTN"
"The Parcels"                                                              ;"indie"                   ;"Parcels"
"Plastic Picnic"                                                           ;"indie"                       ;"Plastic Picnic"
"Cloud Control"                                                            ;"seen live"                   ;"Cloud Control"
"Sure Sure"                                                                ;"indie"                       ;"Sure Sure"
"Riscas"                                                                   ;"UK";"Riscas"
"I Me Mine"                                                                ;"electronic"                  ;"I Me Mine"
"Matt Pond PA"                                                             ;"indie"                       ;"Matt Pond PA"
"Modern Nomad"                                                             ;"indie"                  ;"Modern Nomad"
"Starfucker"                                                               ;"electronic"                  ;"Starfucker"
"The Preatures"                                                            ;"indie"                   ;"The Preatures"
"Lawrence Arabia"                                                          ;"seen live"                   ;"Lawrence Arabia"
"POP ETC"                                                                  ;"indie"                   ;"POP ETC"
"Portugal. The Man"                                                        ;"experimental"                ;"Portugal. The Man"
"Mercyful Fate"                                                            ;"heavy metal"                 ;"Mercyful Fate"
"Nazareth"                                                                 ;"classic rock"                ;"Nazareth"
"Riot"                                                                     ;"heavy metal"                 ;"Riot"
"W.A.S.P."                                                                 ;"heavy metal"                 ;"W.A.S.P."
"Girlschool"                                                               ;"heavy metal"                 ;"Girlschool"
"RAC1"                                                                     ;"Radio"                       ;"RAC1"
"Exumer"                                                                   ;"thrash metal"                ;"Exumer"
"Fatboy Slim"                                                              ;"electronic"                  ;"Fatboy Slim"
"Chumbawamba"                                                              ;"alternative"                 ;"Chumbawamba"
"MGMT"                                                                     ;"electronic"                  ;"MGMT"
"Gorillaz"                                                                 ;"alternative"                 ;"Gorillaz"
"The Verve"                                                                ;"britpop"                     ;"The Verve"
"The Fratellis"                                                            ;"indie"                       ;"The Fratellis"
"Smash Mouth"                                                              ;"rock"                        ;"Smash Mouth"
"Blue Swede"                                                               ;"classic rock"                ;"Blue Swede"
".38 Special"                                                              ;"Southern Rock"               ;"38 Special"
"Diesel"                                                                   ;"dubstep"                     ;"Diesel"
"Loverboy"                                                                 ;"rock"                        ;"Loverboy"
"Poison"                                                                   ;"hard rock"                   ;"Poison"
"The Buggles"                                                              ;"new wave"                    ;"The Buggles"
"Traveling Wilburys"                                                       ;"classic rock"                ;"Traveling Wilburys"
"Men Without Hats"                                                         ;"new wave"                    ;"Men Without Hats"
"Skid Row"                                                                 ;"hard rock"                   ;"Skid Row"
"Run–D.M.C."                                                               ;"rap"                         ;"Run–D.M.C."
"Yes"                                                                      ;"Progressive rock"            ;"Yes"
"Sublime"                                                                  ;"ska"                         ;"Sublime"
"Nikki Lane"                                                               ;"country"                     ;"Nikki Lane"
"Devo"                                                                     ;"new wave"                    ;"Devo"
"Modest Mouse"                                                             ;"indie"                       ;"Modest Mouse"
"Everlast"                                                                 ;"Hip-Hop"                     ;"Everlast"
"Langhorne Slim"                                                           ;"folk"                        ;"Langhorne Slim"
"Willie Nelson"                                                            ;"country"                     ;"Willie Nelson"
"3 Doors Down"                                                             ;"rock"                        ;"3 Doors Down"
"System of a Down"                                                         ;"metal"                       ;"System of a Down"
"Tom Cochrane"                                                             ;"rock"                        ;"Tom Cochrane"
"Bush"                                                                     ;"Grunge"                      ;"Bush"
"Kurt Vile"                                                                ;"seen live"                   ;"Kurt Vile"
"The Mighty Mighty Bosstones"                                              ;"ska"                         ;"The Mighty Mighty Bosstones"
"Puddle of Mudd"                                                           ;"rock"                        ;"Puddle of Mudd"
"Gary Numan"                                                               ;"new wave"                    ;"Gary Numan"
"Hugo"                                                                     ;"rock"                        ;"Hugo"
"Alien Ant Farm"                                                           ;"rock"                        ;"Alien Ant Farm"
"alt-J"                                                                    ;"indie"                       ;"alt-J"
"Kongos"                                                                   ;"rock"                        ;"KONGOS"
"The Darkness"                                                             ;"rock"                        ;"The Darkness"
"Blind Melon"                                                              ;"Grunge"                      ;"Blind Melon"
"Cake"                                                                     ;"alternative"                 ;"Cake"
"Barns Courtney"                                                           ;"seen live"                   ;"Barns Courtney"
"Violent Femmes"                                                           ;"alternative"                 ;"Violent Femmes"
"Tenacious D"                                                              ;"rock"                        ;"Tenacious D"
"Stone Temple Pilots"                                                      ;"Grunge"                      ;"Stone Temple Pilots"
"Derek and the Dominos"                                                    ;"classic rock"                ;"Derek & The Dominos"
"OVERWERK"                                                                 ;"electronic"                  ;"OVERWERK"
"The Animals"                                                              ;"classic rock"                ;"The Animals"
"Buffalo Springfield"                                                      ;"classic rock"                ;"Buffalo Springfield"
"Norman Greenbaum"                                                         ;"classic rock"                ;"Norman Greenbaum"
"Lit"                                                                      ;"rock"                        ;"Lit"
"Limp Bizkit"                                                              ;"Nu Metal"                    ;"Limp Bizkit"
"Soil"                                                                     ;"metal"                       ;"Soil"
"Marilyn Manson"                                                           ;"industrial"                  ;"Marilyn Manson"
"S.O.D."                                                                   ;"thrash metal"                ;"S.O.D."
"Stone Sour"                                                               ;"hard rock"                   ;"Stone Sour"
"Sacred Reich"                                                             ;"thrash metal"                ;"Sacred Reich"
"Rob Zombie"                                                               ;"industrial metal"            ;"Rob Zombie"
"Mastodon"                                                                 ;"Progressive metal"           ;"Mastodon"
"White Zombie"                                                             ;"industrial metal"            ;"White Zombie"
"Deaf Havana"                                                              ;"post-hardcore"               ;"Deaf Havana"
"Twin Atlantic"                                                            ;"seen live"                   ;"Twin Atlantic"
"The Xcerts"                                                               ;"seen live"                   ;"The Xcerts"
"Pulled Apart By Horses"                                                   ;"seen live"                   ;"Pulled Apart By Horses"
"At the Drive-In"                                                          ;"post-hardcore"               ;"At the Drive-In"
"Normandie"                                                                ;"post-hardcore"               ;"Normandie"
"Lower Than Atlantis"                                                      ;"hardcore"                    ;"Lower Than Atlantis"
"Empyr"                                                                    ;"alternative rock"            ;"Empyr"
"Hushpuppies"                                                              ;"seen live"                   ;"Hushpuppies"
"New Found Glory"                                                          ;"pop punk"                    ;"New Found Glory"
"Trophy Eyes"                                                              ;"melodic hardcore"            ;"Trophy Eyes"
"Serj Tankian"                                                             ;"alternative metal"           ;"Serj Tankian"
"Canterbury"                                                               ;"indie"                       ;"Canterbury"
"Black map"                                                                ;"rock"                        ;"Black Map"
"blink-182"                                                                ;"punk rock"                   ;"blink-182"
"You Me at Six"                                                            ;"pop punk"                    ;"You Me at Six"
"Biffy Clyro"                                                              ;"seen live"                   ;"Biffy Clyro"
"Nothing But Thieves"                                                      ;"seen live"                   ;"Nothing But Thieves"
"Motion City Soundtrack"                                                   ;"seen live"                   ;"Motion City Soundtrack"
"A Day to Remember"                                                        ;"post-hardcore"               ;"A Day to Remember"
"Good Charlotte"                                                           ;"punk rock"                   ;"Good Charlotte"
"Fall Out Boy"                                                             ;"pop punk"                    ;"Fall Out Boy"
"Paramore"                                                                 ;"rock"                        ;"Paramore"
"Jimmy Eat World"                                                          ;"rock"                        ;"Jimmy Eat World"
"The Spencer Davis Group"                                                  ;"60s"                         ;"The Spencer Davis Group"
"Caesars"                                                                  ;"indie"                       ;"Caesars"
"The Revivalists"                                                          ;"rock"                        ;"The Revivalists"
"Incubus"                                                                  ;"alternative rock"            ;"Incubus"
"Marcy Playground"                                                         ;"alternative"                 ;"Marcy Playground"
"Anderson East"                                                            ;"soul"                        ;"Anderson East"
"Caitlyn Smith"                                                            ;"folk"                        ;"Caitlyn Smith"
"Jolly Jumpers"                                                            ;"seen live"                   ;"Jolly Jumpers"
"gonzalez"                                                                 ;"Stoner Rock"                 ;"gonzalez"
"The Heavy Eyes"                                                           ;"Stoner Rock"                 ;"The Heavy Eyes"
"Snowy Dunes"                                                              ;"Stoner Rock"                 ;"Snowy Dunes"
"The Devil And The Almighty Blues"                                         ;"blues rock"                  ;"The Devil And The Almighty Blues"
"Horisont"                                                                 ;"Stoner Rock"                 ;"Horisont"
"Blues Pills"                                                              ;"blues rock"                  ;"Blues Pills"
"Wo Fat"                                                                   ;"Stoner Rock"                 ;"Wo Fat"
"Mountain Witch"                                                           ;"doom metal"                  ;"Mountain Witch"
"Karma to Burn"                                                            ;"Stoner Rock"                 ;"Karma to Burn"
"Uncle Acid & the Deadbeats"                                               ;"Psychedelic Rock"            ;"Uncle Acid & the Deadbeats"
"Hermano"                                                                  ;"Stoner Rock"                 ;"Hermano"
"Red Fang"                                                                 ;"Stoner Rock"                 ;"Red Fang"
"Fu Manchu"                                                                ;"Stoner Rock"                 ;"Fu Manchu"
"Buffalo Killers"                                                          ;"blues rock"                  ;"Buffalo Killers"
"Left Lane Cruiser"                                                        ;"blues rock"                  ;"Left Lane Cruiser"
"Kyuss"                                                                    ;"Stoner Rock"                 ;"Kyuss"
"Kadavar"                                                                  ;"Psychedelic Rock"            ;"Kadavar"
"Vokonis"                                                                  ;"doom metal"                  ;"Vokonis"
"Witchcraft"                                                               ;"doom metal"                  ;"Witchcraft"
"Scorpion Child"                                                           ;"hard rock"                   ;"Scorpion Child"
"Lugnet"                                                                   ;"hard rock"                   ;"Lugnet"
"Orchid"                                                                   ;"screamo"                     ;"Orchid"
"Planet of Zeus"                                                           ;"Stoner Rock"                 ;"Planet of Zeus"
"Graveyard"                                                                ;"Stoner Rock"                 ;"Graveyard"
"Abramis Brama"                                                            ;"Stoner Rock"                 ;"Abramis Brama"
"The Atomic Bitchwax"                                                      ;"Stoner Rock"                 ;"The Atomic Bitchwax"
"Skraeckoedlan"                                                            ;"Stoner Rock"                 ;"Skraeckoedlan"
"Spiritual Beggars"                                                        ;"Stoner Rock"                 ;"Spiritual Beggars"
"Nightstalker"                                                             ;"Stoner Rock"                 ;"Nightstalker"
"Five Horse Johnson"                                                       ;"Stoner Rock"                 ;"Five Horse Johnson"
"Elle King"                                                                ;"indie"                   ;"Elle King"
"Nina Simone"                                                              ;"jazz"                        ;"Nina Simone"
"a-ha"                                                                     ;"rock"                         ;"a-ha"
"James Brown"                                                              ;"funk"                        ;"James Brown"
"Bee Gees"                                                                 ;"Disco"                       ;"Bee Gees"
"Curtis Mayfield"                                                          ;"soul"                        ;"Curtis Mayfield"
"Chic"                                                                     ;"Disco"                       ;"Chic"
"Jamiroquai"                                                               ;"funk"                        ;"Jamiroquai"
"Roy Orbison"                                                              ;"classic rock"                ;"Roy Orbison"
"Bonnie Tyler"                                                             ;"rock"                         ;"Bonnie Tyler"
"Setenta"                                                                  ;"latin"                       ;"Setenta"
"X Ambassadors"                                                            ;"indie"                       ;"X Ambassadors"
"Monty Python"                                                             ;"comedy"                      ;"Monty Python"
"Idles"                                                                    ;"post-punk"                   ;"IDLES"
"Slaves"                                                                   ;"post-hardcore"               ;"Slaves"
"Grow Rich"                                                                ;"indonesia"                   ;"Grow Rich"
"Weakened Friends"                                                         ;"indie"                  ;"Weakened Friends"
"Beachtape"                                                                ;"indie"                       ;"Beachtape"
"The Limboos"                                                              ;"spanish"                     ;"The Limboos"
"Night Beats"                                                              ;"Garage Rock"                 ;"Night Beats"
"Chevelle"                                                                 ;"alternative rock"            ;"Chevelle"
"allusinlove"                                                              ;"seen live"                   ;"allusinlove"
"Jonathan Davis"                                                           ;"Nu Metal"                    ;"Jonathan Davis"
"Slothrust"                                                                ;"alternative rock"            ;"Slothrust"
"Fidlar"                                                                   ;"Garage Rock"                 ;"FIDLAR"
"Grandson"                                                                 ;"indie"                  ;"grandson"
"The Blinders"                                                             ;"Garage Rock"                 ;"The Blinders"
"Dave Grohl"                                                               ;"rock"                        ;"Dave Grohl"
"Pond"                                                                     ;"psychedelic"                 ;"Pond"
"Metric"                                                                   ;"indie"                       ;"Metric"
"Jack White"                                                               ;"rock"                        ;"Jack White"
"Tom Morello"                                                              ;"rock"                        ;"Tom Morello"
"Deap Vally"                                                               ;"seen live"                   ;"Deap Vally"
"WARBLY JETS"                                                              ;"rock"                        ;"WARBLY JETS"
"Himalayas"                                                                ;"indie"                  ;"Himalayas"
"Cleopatrick"                                                              ;"rock"                        ;"Cleopatrick"
"Interpol"                                                                 ;"indie"                       ;"Interpol"
"Demob Happy"                                                              ;"seen live"                   ;"Demob Happy"
"Chris Cornell"                                                            ;"rock"                        ;"Chris Cornell"
"Beartooth"                                                                ;"post-hardcore"               ;"Beartooth"
"Pkew Pkew Pkew"                                                           ;"punk"                        ;"Pkew Pkew Pkew"
"The Struts"                                                               ;"rock"                        ;"The Struts"
"Karen O"                                                                  ;"indie"                       ;"Karen O"
"The Score"                                                                ;"freakbeat"                   ;"The Score"
"Shame"                                                                    ;"post-punk"                   ;"Shame"
"Atreyu"                                                                   ;"metalcore"                   ;"Atreyu"
"aka george"                                                               ;"indie"                       ;"aka george"
"Gary Clark Jr."                                                           ;"blues"                       ;"Gary Clark Jr."
"lovelytheband"                                                            ;"indie"                   ;"lovelytheband"
"Des Rocs"                                                                 ;"rock"                        ;"Des Rocs"
"Twenty One Pilots"                                                        ;"electronic"                  ;"twenty one pilots"
"Imagine Dragons"                                                          ;"indie"                       ;"Imagine Dragons"
"Catfish and The Bottlemen"                                                ;"indie"                  ;"Catfish and the Bottlemen"
"Foals"                                                                    ;"indie"                       ;"Foals"
"Crown Lands"                                                              ;"rock"                        ;"Crown Lands"
"Rafferty"                                                                 ;"american"                    ;"Rafferty"
"Highly Suspect"                                                           ;"rock"                        ;"Highly Suspect"
"Blackberry Smoke"                                                         ;"Southern Rock"               ;"Blackberry Smoke"
"The Black Angels"                                                         ;"Psychedelic Rock"            ;"The Black Angels"
"Migrant Motel"                                                            ;"indie"                  ;"Migrant Motel"
"Badflower"                                                                ;"rock"                        ;"Badflower"
"Oddnote"                                                                  ;"rock"                        ;"Oddnote"
"Kaleo"                                                                    ;"rock"                        ;"Kaleo"
"Thunderpussy"                                                             ;"hard rock"                   ;"Thunderpussy"
"Cortes"                                                                   ;"tenor"                       ;"Cortes"
"Bobby Saint"                                                              ;"soul"                        ;"Bobby Saint"
"Cut Glass Kings"                                                          ;"Neo-Psychedelia"             ;"Cut Glass Kings"
